iter	RMSE
0	14.48906053
1	14.02225494
2	13.56781557
3	13.12463458
4	12.71480547
5	12.37074499
6	12.00146342
7	11.66022109
8	11.33745818
9	11.01795019
10	10.70220893
11	10.44536252
12	10.16726954
13	9.888891732
14	9.656981402
15	9.400134447
16	9.172403604
17	8.969165416
18	8.771631217
19	8.587012111
20	8.42128291
21	8.265258922
22	8.11358584
23	7.954074432
24	7.802491738
25	7.683374649
26	7.564839813
27	7.456042344
28	7.335469988
29	7.231056944
30	7.137135968
31	7.035057511
32	6.932195781
33	6.846815424
34	6.757114
35	6.674482992
36	6.597959129
37	6.542194409
38	6.478207558
39	6.417029099
40	6.365051169
41	6.309481879
42	6.25450557
43	6.202492966
44	6.151791129
45	6.10166067
46	6.057933153
47	6.015623493
48	5.973327342
49	5.927623358
50	5.893829146
51	5.858301756
52	5.827614424
53	5.786562323
54	5.755232727
55	5.731353544
56	5.699841931
57	5.675499324
58	5.646219229
59	5.627733028
60	5.604626882
61	5.580096597
62	5.557611758
63	5.535408067
64	5.515436477
65	5.494526496
66	5.47622672
67	5.458553191
68	5.443757511
69	5.428493032
70	5.411757475
71	5.401442906
72	5.385336348
73	5.37086993
74	5.356982577
75	5.34084503
76	5.329564381
77	5.31891498
78	5.308063508
79	5.292162526
80	5.284114279
81	5.269540591
82	5.265367024
83	5.255908248
84	5.246696225
85	5.234022257
86	5.224942925
87	5.21726758
88	5.207926447
89	5.202592273
90	5.191180103
91	5.183297034
92	5.175836142
93	5.16730645
94	5.160668698
95	5.148425288
96	5.142979162
97	5.138119794
98	5.133351679
99	5.122207122
